idx,label,anomalyScore
22410,4,0.123215
13161,1,0.143512
30123,2,0.116109
35751,6,0.065956
656,4,0.116115
23224,6,0.103056
8475,2,0.110431
11853,4,0.048563
12996,3,0.082804
30135,4,0.121236
30943,9,0.138293
25665,9,0.083373
31402,2,0.091753
52657,2,0.076140
404,5,0.115316
33213,9,0.123036
37001,4,0.099249
56556,7,0.089167
5030,8,0.095949
5127,6,0.071949
12045,3,0.132238
15162,4,0.128875
49077,1,0.150393
2597,4,0.135735
26657,0,0.066355
31497,5,0.108828
54444,9,0.126594
7428,0,0.075960
11541,7,0.135076
12562,5,0.095438
25148,2,0.054008
57839,2,0.087315
19161,5,0.069549
28968,6,0.103195
55589,0,0.123257
57871,8,0.129714
802,2,0.103166
13972,9,0.123868
35402,3,0.103780
53068,5,0.130137
11627,9,0.077410
43074,4,0.124320
47567,4,0.143433
17496,5,0.133375
19596,8,0.114417
31979,2,0.127654
49335,5,0.133503
59992,2,0.101904
43003,2,0.069651
45161,5,0.104576
57983,5,0.136681
8817,3,0.126137
10240,1,0.123104
10365,1,0.143426
16110,2,0.121615
30465,4,0.143599
5804,9,0.136170
31634,1,0.144396
50088,3,0.128757
2991,4,0.131404
12465,7,0.135119
33482,8,0.110142
14682,9,0.127813
35946,1,0.145687
5707,2,0.131641
56373,2,0.129591
9441,0,0.058055
14763,9,0.130781
36623,8,0.106331
49972,0,0.065806
23345,3,0.124014
10329,3,0.117735
59447,5,0.069961
39538,9,0.140514
39990,7,0.127931
43910,8,0.124677
50944,7,0.122575
20276,1,0.141651
4844,2,0.073890
6081,2,0.136303
17089,3,0.071617
26925,1,0.145628
53136,1,0.143670
13790,7,0.148290
19666,8,0.087711
31660,9,0.139524
41237,7,0.128344
17273,2,0.110128
47245,9,0.116787
51829,0,0.111811
58973,7,0.121176
100,1,0.147173
3652,3,0.085344
7520,8,0.133000
30595,2,0.091444
36132,4,0.144897
14040,0,0.050709
30936,7,0.136047
46712,4,0.064653
52959,4,0.106100
6635,9,0.130777
7687,7,0.141995
31517,6,0.132079
37599,1,0.144596
39309,8,0.142537
26106,4,0.111589
30399,3,0.123128
34506,5,0.115312
53127,9,0.117058
59067,7,0.135374
10912,7,0.124628
17279,7,0.103856
33303,0,0.064534
35565,6,0.103760
39160,1,0.141064
8536,8,0.111437
23691,5,0.105032
29895,3,0.126049
12351,3,0.118547
32098,0,0.116912
47587,5,0.112942
56807,7,0.089498
20119,4,0.130641
21298,9,0.121406
36947,3,0.058184
43008,1,0.139682
44817,5,0.121443
40038,2,0.089404
3784,4,0.129903
6313,4,0.130763
19763,6,0.113531
21419,6,0.132848
26471,6,0.130021
1882,2,0.118679
2220,9,0.137926
12007,9,0.127992
18022,9,0.140094
56683,2,0.109242
14523,7,0.118309
26575,5,0.104386
24002,5,0.100507
50588,4,0.131523
52689,6,0.113638
52599,6,0.084537
5739,3,0.125014
22558,8,0.112844
38997,6,0.133814
45743,6,0.123809
47061,5,0.107908
16716,3,0.100052
55655,4,0.117873
47976,3,0.103924
13484,0,0.049701
33746,3,0.123984
37073,5,0.111288
42642,5,0.094467
42753,0,0.065077
52864,8,0.090530
43351,1,0.146074
50550,5,0.098665
58814,4,0.076535
7291,8,0.121578
15261,7,0.124576
32091,5,0.111192
47180,6,0.131883
56099,6,0.067313
140,4,0.125784
3498,8,0.127435
11805,3,0.079913
28991,7,0.104552
9067,9,0.128535
13692,7,0.139360
27120,6,0.108801
59162,6,0.120055
3238,1,0.139701
17794,9,0.135273
37509,7,0.119666
53107,6,0.119058
49550,9,0.097501
52094,9,0.122491
55417,4,0.141436
14104,4,0.089869
20584,7,0.130608
25196,8,0.124497
25543,0,0.067235
42282,7,0.136110
59942,4,0.126842
702,6,0.096553
22483,4,0.123144
43023,4,0.109549
49951,5,0.103600
58756,6,0.133722
26114,5,0.107868
41180,2,0.112217
44045,9,0.109470
46421,6,0.142107
7119,9,0.130459
22822,5,0.100855
47008,3,0.094832
59330,5,0.096517
52946,4,0.119104
58235,1,0.147638
13386,4,0.140121
37736,8,0.092541
41090,6,0.118991
43778,9,0.131021
48108,2,0.092979
12424,6,0.097649
37398,3,0.103253
50309,3,0.065023
7013,0,0.118632
23122,4,0.104365
38566,3,0.124087
39690,5,0.104129
20438,3,0.105213
30032,1,0.143775
47409,2,0.135235
57186,2,0.097504
10717,7,0.127389
21738,1,0.143765
26179,0,0.075169
20189,9,0.149637
32051,6,0.069943
34627,5,0.139211
1743,0,0.078427
7071,9,0.122815
11960,6,0.126749
23015,4,0.129227
29101,5,0.142045
20344,6,0.079734
5909,2,0.123260
29178,0,0.106973
50104,1,0.143775
3978,9,0.139250
5255,5,0.131437
20294,4,0.117269
43957,7,0.142333
16213,7,0.143272
17560,8,0.107485
19263,7,0.109460
31793,7,0.129635
6113,5,0.081372
6942,4,0.103982
18200,6,0.123036
14657,1,0.140640
21525,3,0.113254
44626,5,0.116719
52900,7,0.118075
57324,7,0.090967
11525,3,0.114996
14006,2,0.103137
22893,1,0.140331
23981,0,0.117898
57088,8,0.108446
59528,1,0.144118
12457,0,0.127198
26554,5,0.121229
32447,1,0.147445
37893,6,0.127623
42265,3,0.103466
25905,7,0.106531
29645,6,0.131812
37596,8,0.120577
49022,2,0.109884
59951,8,0.126559
19056,4,0.139551
58819,9,0.123341
30037,6,0.131793
31933,1,0.145540
52345,4,0.135718
2776,5,0.103161
5205,1,0.145319
5554,6,0.077506
10689,2,0.115575
24677,0,0.098008
58964,1,0.136715
16948,4,0.117982
23790,8,0.101932
25211,3,0.072093
36194,5,0.051187
37435,8,0.099674
4150,1,0.137468
25986,7,0.121617
57742,8,0.137018
12150,7,0.131565
15715,6,0.116653
20687,1,0.139669
29006,2,0.110024
7912,0,0.050767
53045,9,0.126635
37295,4,0.115776
52242,8,0.129583
13334,7,0.081259
24399,9,0.132041
47380,4,0.115235
2429,5,0.142715
4610,8,0.123650
725,7,0.097555
5284,7,0.112170
6627,2,0.088515
27375,2,0.110869
12448,2,0.087779
13788,3,0.131475
38046,6,0.135860
49430,0,0.069392
44386,3,0.137711
49412,2,0.091140
52454,2,0.049301
3457,1,0.144395
3573,6,0.072640
12002,4,0.106160
16068,9,0.120073
32136,2,0.086875
37194,7,0.113798
47527,5,0.096463
6390,5,0.102434
32128,8,0.131890
47925,2,0.132168
55739,6,0.098812
902,6,0.109295
40762,5,0.127919
53571,3,0.121387
55278,0,0.117684
32612,2,0.118683
36168,2,0.098198
39262,7,0.121227
43065,3,0.128207
47003,4,0.132435
19075,0,0.086389
37913,3,0.127320
42081,6,0.135412
42494,3,0.117608
13606,8,0.081084
20153,6,0.140664
30793,4,0.134820
48025,1,0.148713
52979,0,0.129006
6366,1,0.139534
10206,1,0.119944
19241,0,0.125792
22622,1,0.130628
39988,6,0.135537
41844,3,0.080183
55713,5,0.111583
12216,1,0.132644
43516,8,0.127034
35110,1,0.125773
45221,1,0.150865
47349,5,0.085059
12616,4,0.092648
16188,6,0.125963
22310,8,0.115691
26081,7,0.127954
29510,7,0.125424
33915,0,0.085058
45484,7,0.096304
49867,7,0.135587
1389,8,0.122186
8619,8,0.122693
22914,8,0.108689
31059,1,0.143019
46809,5,0.096695
5642,0,0.085646
12480,1,0.137348
20891,5,0.104518
38824,1,0.140672
44609,3,0.117639
2376,1,0.110817
41813,1,0.142884
14978,9,0.133909
15841,4,0.147941
22363,0,0.082194
24237,7,0.133381
454,0,0.074666
50823,7,0.130870
55211,7,0.144420
42666,8,0.096688
53055,5,0.132556
6107,3,0.110071
10492,4,0.109532
58778,8,0.129909
40892,7,0.126691
41608,1,0.134981
52890,2,0.084917
56037,5,0.110920
53647,6,0.119319
6828,3,0.141453
7914,7,0.122595
15471,2,0.082255
40043,0,0.088627
50858,1,0.142060
17940,9,0.125525
24681,3,0.112889
48005,5,0.110342
56362,2,0.097767
484,7,0.086739
40313,0,0.104088
44857,1,0.139541
48323,0,0.082484
48410,6,0.107734
42419,7,0.144381
49788,1,0.146379
58522,0,0.105501
59586,0,0.112093
405,8,0.109505
19274,1,0.132196
34939,1,0.146460
38424,8,0.128752
46152,7,0.127778
20405,7,0.127208
31636,2,0.116539
56772,8,0.113620
1417,7,0.105084
1631,4,0.129875
20843,3,0.128290
54042,4,0.130871
54839,2,0.120471
44489,5,0.124047
48609,4,0.082831
9391,9,0.076021
16724,4,0.146220
19389,1,0.145773
25648,8,0.116588
38922,7,0.120325
