idx,label,iForestAnomalyScore,rForestNormalizedScore
1,5,0.103551,0.398199
2,0,0.109539,0.429429
3,4,0.092781,0.309957
4,1,0.146627,0.720372
5,9,0.134658,0.550091
6,2,0.116723,0.422324
7,1,0.146609,0.686128
8,3,0.116249,0.413207
9,1,0.151860,0.856361
10,4,0.130224,0.514713
11,3,0.138587,0.544395
12,5,0.128987,0.520041
13,3,0.079529,0.265713
14,6,0.118619,0.460302
15,1,0.153659,0.824009
16,7,0.130406,0.511662
17,2,0.134999,0.412950
18,8,0.124771,0.525019
19,6,0.147654,0.632645
20,9,0.148657,0.636550
21,4,0.076260,0.223758
22,0,0.092933,0.334601
23,9,0.148497,0.722367
24,1,0.147978,0.764511
25,1,0.126175,0.494962
26,2,0.092153,0.301368
27,4,0.152036,0.770217
28,3,0.068335,0.260655
29,2,0.044168,0.174460
30,7,0.147551,0.630226
31,3,0.116772,0.338808
32,8,0.112577,0.350951
33,6,0.136904,0.571694
34,9,0.137881,0.541420
35,0,0.122934,0.432853
36,5,0.135278,0.525016
37,6,0.124992,0.481208
38,0,0.111687,0.423914
39,7,0.126950,0.467199
40,6,0.134971,0.551906
41,1,0.157160,0.920542
42,8,0.135281,0.545524
43,7,0.147139,0.745616
44,9,0.152926,0.756118
45,3,0.138065,0.585388
46,9,0.137166,0.639809
47,8,0.144560,0.528733
48,5,0.108711,0.431068
49,9,0.141336,0.605445
50,3,0.127675,0.419565
51,3,0.137538,0.557877
52,0,0.059121,0.214201
53,7,0.107095,0.391010
54,4,0.147525,0.537492
55,9,0.129819,0.470108
56,8,0.123431,0.403965
57,0,0.077933,0.225566
58,9,0.148840,0.652041
59,4,0.107502,0.397455
60,1,0.152156,0.745800
61,4,0.079018,0.207242
62,4,0.137636,0.609952
63,6,0.130937,0.517312
64,0,0.076834,0.190370
65,4,0.114987,0.409344
66,5,0.133592,0.468373
67,6,0.125176,0.467678
68,1,0.149790,0.720614
69,0,0.077051,0.199046
70,0,0.111352,0.346553
71,1,0.146229,0.557037
72,7,0.143347,0.489393
73,1,0.157014,0.907961
74,6,0.118033,0.499582
75,3,0.137846,0.544479
76,0,0.109971,0.407663
77,2,0.104052,0.411850
78,1,0.149450,0.769873
79,1,0.155038,0.759097
80,7,0.137673,0.458681
81,9,0.125042,0.462266
82,0,0.116084,0.424123
83,2,0.105283,0.299426
84,6,0.120161,0.452500
85,7,0.124966,0.515746
86,8,0.123871,0.475145
87,3,0.086458,0.267241
88,9,0.136598,0.519502
89,0,0.095709,0.277832
90,4,0.122701,0.443425
91,6,0.117558,0.431514
92,7,0.124150,0.368229
93,4,0.147636,0.674007
94,6,0.125216,0.520816
95,8,0.137828,0.569353
96,0,0.118422,0.452945
97,7,0.147146,0.679154
98,8,0.129271,0.508379
99,3,0.139493,0.601934
100,1,0.158630,0.824070
101,5,0.137102,0.539173
102,7,0.123814,0.393764
103,1,0.152571,0.878063
104,7,0.140425,0.655288
105,1,0.153156,0.767956
106,1,0.152833,0.732644
107,6,0.122406,0.516029
108,3,0.111926,0.405654
109,0,0.079524,0.177691
110,2,0.122930,0.357566
111,9,0.129096,0.519098
112,3,0.045110,0.137277
113,1,0.157195,0.946239
114,1,0.146822,0.641492
115,0,0.072616,0.226063
116,4,0.138469,0.559212
117,9,0.141232,0.635208
118,2,0.100060,0.278611
119,0,0.121239,0.425721
120,0,0.082780,0.288735
121,2,0.098456,0.248937
122,0,0.050591,0.128245
123,2,0.131175,0.419876
124,7,0.124760,0.426606
125,1,0.156838,0.900470
126,8,0.140384,0.534669
127,6,0.124838,0.455910
128,4,0.129845,0.421869
