"iforestRScore.id","iforestRScore.average_depth","iforestRScore.anomaly_score"
1,12.63,0.425483776392075
2,12.34,0.433914634824907
3,12.9,0.417781675908562
4,14.61,0.372137249809326
5,13.45,0.402520788809826
6,11.92,0.446421888916374
7,14.34,0.378997863036214
8,12.73,0.422614728313848
9,14.43,0.376697052524025
10,13.33,0.405802172090818
11,13.16,0.410496641180752
12,13.94,0.389394908446819
13,12.35,0.433621153434216
14,11.99,0.444312587347606
15,14.74,0.368878424114356
16,13.75,0.394432947141905
17,12.16,0.439231396667038
18,11.91,0.446724034039499
19,13.57,0.399265939335149
20,13.9,0.390450172753328
21,13.39,0.40415815024658
22,12.61,0.426059919077512
23,13.1,0.412166446539561
24,14.69,0.370128427647088
25,13.23,0.408557083039196
26,12.5,0.42924267735417
27,14.31,0.379767918537694
28,12.78,0.421187467223055
29,13.24,0.408280752417263
30,14.07,0.385984956517021
31,12.21,0.437748017503187
32,12.77,0.42147253330584
33,13.36,0.404979326927029
34,13.03,0.414123139545873
35,12.52,0.428662230760249
36,12.95,0.416370737078178
37,13.21,0.409110305483944
38,12.37,0.433034786013543
39,12.92,0.417216727538846
40,13.16,0.410496641180752
41,14.27,0.380797093600071
42,12.43,0.431280436982207
43,14.49,0.375170943928255
44,13.27,0.407452881435538
45,13.31,0.406351664142353
46,13.49,0.401432901415479
47,11.43,0.461470057698848
48,14.66,0.370880462050872
49,12.88,0.418347389268365
50,12.36,0.433327870541846
51,12.91,0.41749910616463
52,12.69,0.423760018682367
53,13.05,0.413563138459087
54,13.66,0.39684208590489
55,13.53,0.400347954239416
56,12.9,0.417781675908562
57,12.61,0.426059919077512
58,13.22,0.408833600685896
59,13.56,0.399536168594501
60,14.13,0.384421219938697
61,13.09,0.412445407058365
62,13.07,0.413003894637924
63,13.52,0.400618915822909
64,12.32,0.434502193638731
65,12.36,0.433327870541846
66,14.12,0.384681402066219
67,13.98,0.388342496188624
68,13.42,0.403338638666287
69,12.82,0.420049129653949
70,12.93,0.416934539901946
71,13.81,0.392834985312751
72,14.1,0.385202294726107
73,14.28,0.380539538653472
74,12.74,0.422328889698974
75,13.4,0.40388479487556
76,13.03,0.414123139545873
77,13.21,0.409110305483944
78,14.29,0.380282157906077
79,14.75,0.368628930448514
80,13.48,0.401704597307719
81,12.2,0.438044292018237
82,12.48,0.429823909924145
83,13.35,0.405253423093985
84,13.26,0.407728651741801
85,14.06,0.386246197005238
86,12.62,0.425771750282239
87,13.89,0.390714435367796
88,12.97,0.415807696660959
89,12.04,0.44281204790687
90,11.81,0.449756755441502
91,13.3,0.406626689128006
92,13.37,0.404705416147054
93,13.18,0.409941544053276
94,12.8,0.420617913346775
95,13.05,0.413563138459087
96,13.08,0.412724556381891
97,14.11,0.38494176028896
98,12.77,0.42147253330584
99,13.39,0.40415815024658
100,14.01,0.38755505401394
101,14.25,0.381312726562562
102,13.34,0.405527704773396
103,14.86,0.36589561234829
104,13.41,0.403611624390479
105,14.46,0.375933223818313
106,14.47,0.375678958586218
107,12.92,0.417216727538846
108,13.26,0.407728651741801
109,12.66,0.424621022834421
110,13.52,0.400618915822909
111,13.64,0.397379445206827
112,12.37,0.433034786013543
113,14.17,0.383382249999959
114,14.06,0.386246197005238
115,13.21,0.409110305483944
116,13.15,0.410774471549897
117,13.19,0.409664277040839
118,11.92,0.446421888916374
119,12.14,0.439826154846891
120,12.33,0.434208314848266
121,13.08,0.412724556381891
122,13.21,0.409110305483944
123,12.98,0.415526462032574
124,13.78,0.39363315535833
125,14.6,0.372389117959063
126,13.06,0.413283421954336
127,13.62,0.397917532140811
128,13.73,0.394967044256765
129,14.05,0.38650761430499
130,12.85,0.419197395930817
131,13.88,0.39097887683922
132,12.13,0.440123835876897
133,13.81,0.392834985312751
134,14,0.387817357168019
135,14.07,0.385984956517021
136,12.75,0.422043244413173
137,13.87,0.391243497288654
138,14.6,0.372389117959063
139,13.39,0.40415815024658
140,13.18,0.409941544053276
141,13.93,0.389658456842357
142,13.95,0.389131538304199
143,13.03,0.414123139545873
144,13.02,0.414403424384259
145,12.16,0.439231396667038
146,13.14,0.411052489958861
147,12.41,0.431864428859045
148,12.79,0.420902593946836
149,13.38,0.404431690628671
150,12.69,0.423760018682367
151,13.51,0.400890060797322
152,13.2,0.409387197560008
153,14.93,0.36416678988619
154,13.45,0.402520788809826
155,12.81,0.420333425292556
156,13.6,0.39845634769212
157,12.93,0.416934539901946
158,13.08,0.412724556381891
159,12.61,0.426059919077512
160,12.39,0.432449211512563
161,13.03,0.414123139545873
162,13.19,0.409664277040839
163,13.53,0.400347954239416
164,13.22,0.408833600685896
165,13.22,0.408833600685896
166,13.67,0.396573678808404
167,13.98,0.388342496188624
168,12.91,0.41749910616463
169,14.15,0.383901383492984
170,12.58,0.426925596213571
171,13.88,0.39097887683922
172,12.65,0.424908412799858
173,12.85,0.419197395930817
174,14.14,0.384161213787293
175,14.53,0.37415697458314
176,13.24,0.408280752417263
177,13.11,0.411887674697778
178,13.73,0.394967044256765
179,13.4,0.40388479487556
180,12.5,0.42924267735417
181,13.51,0.400890060797322
182,12.68,0.424046825907101
183,12.98,0.415526462032574
184,13.73,0.394967044256765
185,14.53,0.37415697458314
186,12.82,0.420049129653949
187,12.7,0.423473405441834
188,12.64,0.425195997275193
189,13.13,0.411330696534912
190,13.64,0.397379445206827
191,13.27,0.407452881435538
192,13.04,0.413843044280222
193,12.63,0.425483776392075
194,13.33,0.405802172090818
195,13.51,0.400890060797322
196,13.13,0.411330696534912
197,14.34,0.378997863036214
198,13.04,0.413843044280222
199,13.64,0.397379445206827
200,12.61,0.426059919077512
201,14.36,0.378485360365094
202,14.05,0.38650761430499
203,12.74,0.422328889698974
204,12.6,0.426348282909807
205,13.65,0.39711067466338
206,13.67,0.396573678808404
207,12.29,0.435385023958502
208,12.78,0.421187467223055
209,15.12,0.359515336724871
210,12.82,0.420049129653949
211,12.65,0.424908412799858
212,15.15,0.358786347388495
213,14.44,0.376442270670703
214,12.39,0.432449211512563
215,13.6,0.39845634769212
216,13.7,0.395769546262705
217,13.2,0.409387197560008
218,13.29,0.406901900254752
219,12.51,0.428952355876664
220,12.24,0.436860395740827
221,13.07,0.413003894637924
222,13.09,0.412445407058365
223,12.69,0.423760018682367
224,13.78,0.39363315535833
225,12.26,0.43626964803072
226,12.17,0.438934319244929
227,13.67,0.396573678808404
228,13.87,0.391243497288654
229,13.79,0.393366918645887
230,12.86,0.418913868654118
231,12.87,0.418630533143201
232,14.52,0.374410209713317
233,13.94,0.389394908446819
234,12.56,0.427503691250636
235,11.83,0.449148568533345
236,13.5,0.401161389286777
237,13.41,0.403611624390479
238,14.05,0.38650761430499
239,12.6,0.426348282909807
240,13.17,0.410218998724244
241,13.37,0.404705416147054
242,12.7,0.423473405441834
243,13.11,0.411887674697778
244,13.8,0.393100862004625
245,12.13,0.440123835876897
246,12.99,0.415245417619321
247,12.45,0.430697234812716
248,13.1,0.412166446539561
249,14.31,0.379767918537694
250,12.59,0.426636841911129
251,13.01,0.414683898923687
252,14.1,0.385202294726107
253,12.91,0.41749910616463
254,13.1,0.412166446539561
255,11.9,0.447026383659039
256,13.37,0.404705416147054
257,13.8,0.393100862004625
258,13.55,0.399806580749124
259,13.93,0.389658456842357
260,12.88,0.418347389268365
261,13.32,0.406076825171895
262,12.87,0.418630533143201
263,12.68,0.424046825907101
264,13.31,0.406351664142353
265,13.75,0.394432947141905
266,12.5,0.42924267735417
267,12.79,0.420902593946836
268,13.63,0.397648397658264
269,13.47,0.401976477087871
270,14.25,0.381312726562562
271,14.02,0.387292928270549
272,13.58,0.398995892847367
273,13.37,0.404705416147054
274,12.5,0.42924267735417
275,12.96,0.416089121633218
276,12.85,0.419197395930817
277,14.17,0.383382249999959
278,11.86,0.448237829870867
279,13.49,0.401432901415479
280,13.43,0.40306583757802
281,13.27,0.407452881435538
282,13.4,0.40388479487556
283,13.5,0.401161389286777
284,12.63,0.425483776392075
285,12.17,0.438934319244929
286,13.65,0.39711067466338
287,13.79,0.393366918645887
288,13.76,0.39416616948434
289,14.28,0.380539538653472
290,13.36,0.404979326927029
291,14.23,0.381829057737715
292,13.1,0.412166446539561
293,13.72,0.395234363958555
294,11.91,0.446724034039499
295,13.16,0.410496641180752
296,12.49,0.429533195325667
297,12.85,0.419197395930817
298,12.9,0.417781675908562
299,13.05,0.413563138459087
300,12.76,0.421757792325685
301,13.88,0.39097887683922
302,13.92,0.389922183611457
303,13.78,0.39363315535833
304,11.56,0.457428939852518
305,14.53,0.37415697458314
306,14.03,0.387030979817856
307,12.63,0.425483776392075
308,14.05,0.38650761430499
309,12.87,0.418630533143201
310,14.75,0.368628930448514
311,14.22,0.38208748545044
312,13.61,0.398186848777668
313,12.9,0.417781675908562
314,14.08,0.385723892720751
315,12.72,0.422900760388644
316,14.42,0.376952006817579
317,12.92,0.417216727538846
318,12.44,0.43098873725082
319,11.9,0.447026383659039
320,13.75,0.394432947141905
